L24,L48,H24,H48,M24,M48,Metric
0.931770681370655,1.5365885547314682,0.44461512854310364,0.93209092975412,0.7353876545888524,1.2526142179860364,Meal Size
0.9413089350565054,1.5928793927451779,0.40357494988152437,0.9279677574807405,0.6730023517571468,1.2564535250074051,Feed Speed
-0.04139119678873998,-0.032501923500074345,-0.6630006614677422,-0.6914320391123734,-0.3675367123811055,-0.37164014853852567,Prefeed Speed
-0.5409215167347323,-0.7440536157173404,-1.0845454527425789,-1.2350134740575316,-0.8370402895878394,-0.9967642843284918,Duringfeed Speed
-0.5662354746623949,-0.36665832991113184,-1.1644040554385413,-1.0261194987225526,-0.8628340274648827,-0.6997542223115856,Postfeed Speed
1.0413003351776362,1.5621425859753346,0.5564469401602231,0.9634916945484076,0.8377568578744703,1.2787356036222877,Meal Duration
1.0050999280919504,2.249504072537561,0.5342246444594049,1.5621075758858007,0.7831534241404404,1.9105401615132669,Volume
0.14327220607175978,0.5675398309754166,-0.30961413326587384,0.02369724244854081,-0.08895715254086153,0.2888521030252847,Count
0.7483932565726998,1.6164740492488516,0.24006124726424757,0.9959948810495153,0.49664222482622583,1.2985996548458714,Duration
-0.10007236033404644,-0.5692952220892696,-0.5844908305455074,-1.1305663835120805,-0.33756328643804995,-0.8506477041709577,Latency
0.4052694470530579,0.41881807689798267,-0.12056795883781156,-0.18963179007925662,0.15708098441825974,0.13495852300605635,Duringfeed Speed Ratio
-0.10435273442694692,-0.3724481544335652,-0.8641785262047925,-1.0525470176111296,-0.4622883379676078,-0.7315739667350404,Perifeed Speed Ratio
-0.2690902665830346,-0.3404782055119599,-0.6174298500614605,-0.6769998216484564,-0.451959675383482,-0.5230332051630057,Speed
0.41120675686970104,0.5911712277401328,-0.07145555566316837,0.04147999086815677,0.17919125403816955,0.3213092896639743,Height
0.32192553661274703,0.7598395122865618,-0.1422276260496614,0.24477444187453426,0.10525724783659211,0.5070174028429709,Food Port Occupancy
-0.22657058913043768,-0.30571465685350174,-0.6578220302812418,-0.6277834535880784,-0.4973740799628666,-0.48509734063025234,Ctrl Port Occupancy
0.8570340492567861,0.3271176473636042,0.439601494068944,-0.21132641182182654,0.6515414939135532,0.05027684181552009,Falls
